date,State,district_name,year,month,precip_mean,temp_mean,Latitude,Longitude,temp_min,temp_max,PET,D,SPEI_3,Drought_Class
01-01-2013,Telangana,Adilabad,2013,1,0.124997231,22.79123757,19.664,78.532,22.35009766,23.22305298,29.75497984,-29.62998261,,
01-02-2013,Telangana,Adilabad,2013,2,0.620344224,24.86735581,19.664,78.532,24.22055054,25.56976318,40.04835646,-39.42801224,,
01-03-2013,Telangana,Adilabad,2013,3,0.095710562,29.41481342,19.664,78.532,28.69909668,30.22000122,58.88613769,-58.79042713,1.161977667,Moderately Wet
01-04-2013,Telangana,Adilabad,2013,4,0.841344095,32.16213527,19.664,78.532,31.34515381,33.39614868,76.48402051,-75.64267641,0.189958647,Normal
01-05-2013,Telangana,Adilabad,2013,5,0.112712506,36.2635535,19.664,78.532,35.40158081,37.52346802,89.97017504,-89.85746254,1.01E-07,Normal
01-06-2013,Telangana,Adilabad,2013,6,17.35032998,27.34913959,19.664,78.532,26.67459106,28.41378784,66.17330039,-48.8229704,1.673304708,Severely Wet
01-07-2013,Telangana,Adilabad,2013,7,23.94162873,24.89952504,19.664,78.532,24.34518433,25.75628662,57.91297066,-33.97134193,1.673304708,Severely Wet
01-08-2013,Telangana,Adilabad,2013,8,9.223410866,24.83074026,19.664,78.532,24.31155396,25.60653687,54.05623852,-44.83282765,1.673304708,Severely Wet
01-09-2013,Telangana,Adilabad,2013,9,6.490165017,25.88777669,19.664,78.532,25.29574585,26.83853149,54.69133734,-48.20117232,1.673304708,Severely Wet
01-10-2013,Telangana,Adilabad,2013,10,5.334651138,24.92651367,19.664,78.532,24.36550903,25.78536987,47.21297954,-41.8783284,0.848221135,Normal
01-11-2013,Telangana,Adilabad,2013,11,0.323308338,22.47948849,19.664,78.532,21.8946228,23.38815308,38.51799287,-38.19468453,1.635393611,Severely Wet
01-12-2013,Telangana,Adilabad,2013,12,0.201546023,20.83356268,19.664,78.532,20.1373291,21.79559326,37.37414737,-37.17260135,1.635393611,Severely Wet
01-01-2014,Telangana,Adilabad,2014,1,0.047368638,22.56821881,19.664,78.532,21.86254883,23.51916504,40.76447939,-40.71711076,-0.102249082,Normal
01-02-2014,Telangana,Adilabad,2014,2,0.847573065,24.01875814,19.664,78.532,23.40057373,24.82849121,40.3804779,-39.53290484,-0.535783866,Normal
01-03-2014,Telangana,Adilabad,2014,3,2.368225098,26.34074263,19.664,78.532,25.66601563,27.1312561,54.03534173,-51.66711663,0.387425545,Normal
01-04-2014,Telangana,Adilabad,2014,4,0.355045011,31.82249867,19.664,78.532,30.96340942,33.05133057,76.64487264,-76.28982763,1.161977667,Moderately Wet
01-05-2014,Telangana,Adilabad,2014,5,0.330982085,33.42120546,19.664,78.532,32.41912842,34.78076172,89.92674156,-89.59575947,0.601654082,Normal
01-06-2014,Telangana,Adilabad,2014,6,1.141038956,33.16721413,19.664,78.532,32.28918457,34.48391724,83.91520614,-82.77416719,-0.848221135,Normal
